POS,NN,Ndist,Nweight
"[0.0, 0.0]","[51, 189, 135, 154, 144, 180, 77, 183, 104, 42, 140, 84, 70, 145]","[0.05702387456926688, 0.13612252873716524, 0.1602174901964333, 0.18401994117311116, 0.20134229100295437, 0.24270777836507637, 0.25330639553799433, 0.2543709478401761, 0.2572947924688253, 0.2767394216212321, 0.28168834787624986, 0.31911572331241633, 0.3191544703391771, 0.33828778326535774]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.0, 1.0]","[68, 88, 29, 38, 49, 16, 19, 194, 76, 124, 113, 191, 117, 128]","[0.05085020459250822, 0.07711374060927824, 0.10153004524638995, 0.1466572662508085, 0.23527057996234127, 0.23734763303609166, 0.2479430991923626, 0.26531142490257625, 0.26831229542596063, 0.2900743611485458, 0.3139350439509197, 0.31638738750057455, 0.3339838113686754, 0.3541654371413312]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.8917231229212585, 0.8624799585787819]","[133, 7, 116, 61, 27, 9, 74, 21, 179, 184, 71, 153, 89, 192]","[0.07318576261470348, 0.07326257053785108, 0.0918152208532495, 0.09313137091045906, 0.1098709989327387, 0.11217200865932041, 0.12225796585523681, 0.12396034298269147, 0.12524815528582603, 0.12562057555452721, 0.12970048975186046, 0.13299469128663782, 0.13669000322247557, 0.14278410093848617]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.46255134264482267, 0.19301207635443385]","[10, 99, 30, 6, 109, 58, 172, 93, 136, 120, 13, 44, 72, 45]","[0.008318717724266218, 0.03420605681348788, 0.0413107846106894, 0.046458539449283444, 0.0767343414047336, 0.07974820206469767, 0.08248779233073203, 0.09668793586198744, 0.10688072615822272, 0.11594975514065657, 0.12354101078662451, 0.12977767807563728, 0.13000144532633606, 0.13073074496429665]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.43551601301612486, 0.6903271054363308]","[107, 69, 105, 28, 150, 94, 111, 36, 8, 32, 34, 53, 132, 82]","[0.03419633607834461, 0.04307130240070012, 0.052691864190955784, 0.0620254390471536, 0.07119841172553666, 0.08451501039787476, 0.08584380599039379, 0.09600963245771146, 0.09705648375383928, 0.1069959025081546, 0.11229967458056743, 0.11727334724255095, 0.11735125747861307, 0.11806124996910017]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.4961449033419143, 0.2251036417174922]","[99, 10, 4, 30, 136, 152, 172, 109, 58, 44, 13, 141, 93, 118]","[0.029159107165967205, 0.046242213220827846, 0.046458539449283444, 0.08573822957970094, 0.08677530740353008, 0.10233792347303564, 0.11859043099855159, 0.12262332493744903, 0.12391906734563296, 0.12421525641062471, 0.12810403458458774, 0.13234173857266307, 0.14113821757324113, 0.15127462346134826]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.9253683309840832, 0.7973999753564205]","[133, 184, 9, 21, 27, 3, 192, 153, 81, 61, 106, 195, 114, 179]","[0.03630641046800626, 0.0531826750009406, 0.05424461085967794, 0.060268196705587175, 0.06876098029995907, 0.07326257053785108, 0.07556872290865708, 0.10267977929778868, 0.12345190021058493, 0.1235143401270975, 0.13586818017928878, 0.1420379883739234, 0.15781319694609502, 0.1623298161418789]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.5108948344472936, 0.6291879664310484]","[14, 53, 36, 107, 105, 5, 55, 82, 24, 182, 150, 69, 32, 57]","[0.04016691985248084, 0.044161241644485254, 0.046921983121235064, 0.06463965278266075, 0.0776847991966968, 0.09705648375383928, 0.09713107958096866, 0.09823940943358989, 0.10590436577635733, 0.11971411829004532, 0.12701826432834648, 0.12717414541608874, 0.13053489714497749, 0.1311649782184182]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.9793914145713521, 0.792502603914428]","[21, 133, 184, 7, 192, 3, 27, 106, 195, 81, 153, 61, 156, 114]","[0.014832384042978434, 0.03967131210063961, 0.040444585643989346, 0.05424461085967794, 0.09322470175765514, 0.11217200865932041, 0.1142457972145672, 0.11704482068683238, 0.12368277920977946, 0.14085457414602467, 0.14868005501492582, 0.17731437626316757, 0.18774652750476145, 0.19725300134582258]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.4575381535450097, 0.19965052494017566]","[4, 99, 30, 6, 172, 109, 58, 93, 136, 120, 13, 152, 72, 45]","[0.008318717724266218, 0.039267853932552, 0.039523507682047196, 0.046242213220827846, 0.07721051942751023, 0.0796991635979844, 0.08413200010782905, 0.09503250198310252, 0.11299566771493494, 0.1199207187024085, 0.13169826404292068, 0.13262722814900188, 0.13302746540385404, 0.13592212044398533]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.740912084397503, 0.9334090386556063]","[85, 74, 161, 40, 116, 89, 179, 92, 143, 61, 159, 71, 193, 146]","[0.04919556956725763, 0.05101771025103749, 0.05421660876064551, 0.08289930179253036, 0.08688019042870983, 0.09340429575224846, 0.09788755621474231, 0.11105384237125374, 0.11302580288717567, 0.124274295117849, 0.136158333907237, 0.13727850977477601, 0.1438285832619102, 0.14446848014188843]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
