POS,NN,Ndist,Nweight
"[0.0, 0.0]","[35, 30, 32, 31, 11, 39, 9, 5, 49, 22, 19, 12, 6, 36]","[0.1270389345007306, 0.22725758752489889, 0.34609762085627965, 0.38416031368140086, 0.41619571743216527, 0.4163755277841649, 0.42132699466151635, 0.42342625306703435, 0.46772598906224033, 0.517804045957089, 0.5832398149533613, 0.5855546411924576, 0.5896594744834447, 0.6245264281356284]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.0, 1.0]","[42, 25, 27, 3, 7, 29, 40, 17, 49, 21, 9, 39, 43, 6]","[0.1948232324695697, 0.20383269322801567, 0.20869737615683673, 0.20962850960533003, 0.31094169929625864, 0.34379538109140306, 0.37043661405378153, 0.37409355675648576, 0.535032060714191, 0.5685011445914431, 0.5868821999357966, 0.5990844179105664, 0.6406851961901138, 0.6654652882564419]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.1302608204363378, 0.8357555763546168]","[27, 42, 25, 7, 17, 2, 29, 40, 21, 49, 9, 39, 43, 6]","[0.08108089334037555, 0.10572924036242419, 0.11010741781462198, 0.1630936838611909, 0.16878834061076356, 0.20962850960533003, 0.2136546556052312, 0.2297169198801067, 0.3591360133728124, 0.38107035243153126, 0.4245248744807824, 0.43072326919003034, 0.4450435950152216, 0.45650485066017404]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.4902742383159818, 0.42909752133318957]","[16, 38, 36, 6, 12, 21, 43, 37, 8, 47, 13, 33, 41, 15]","[0.019172382441359458, 0.027004094413099852, 0.057865047319825974, 0.1145119242185529, 0.13611854542169588, 0.18402762873898992, 0.21438118793596192, 0.22588675545803322, 0.24733759232380606, 0.25506185180723323, 0.2795315652254245, 0.2814209478637497, 0.2898116660010969, 0.29025957714422895]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.4192486753713254, 0.05933245305713608]","[11, 22, 31, 19, 30, 12, 32, 35, 16, 4, 23, 38, 36, 6]","[0.028369694386655625, 0.11145324579826121, 0.13903348258341255, 0.16269117972204553, 0.19832852616706495, 0.25028410919751737, 0.26872519383798393, 0.2964117474504339, 0.3580371742429672, 0.37652468220396895, 0.3800396953547441, 0.3840647172095916, 0.3886677869180236, 0.39523584337430573]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.37816397796969003, 0.45242712298693144]","[36, 4, 21, 16, 38, 12, 43, 32, 31, 37, 17, 39, 9, 8]","[0.05750171980378723, 0.1145119242185529, 0.11681106281418362, 0.12116068934678459, 0.14075631774615432, 0.2038879241809398, 0.24106584127900796, 0.2445391727641661, 0.27983057809816425, 0.2856494910574817, 0.2934292109582604, 0.2948741274025302, 0.3168897057869231, 0.33728677900607446]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.2870824974769879, 0.8805496755817709]","[29, 40, 25, 3, 17, 27, 42, 2, 21, 43, 37, 6, 36, 15]","[0.052096943477530584, 0.06711343572934059, 0.10741947301835676, 0.1630936838611909, 0.22417986398534998, 0.24323892435865238, 0.26882199577619836, 0.31094169929625864, 0.3225801301205027, 0.3418970932889129, 0.4124457135970344, 0.4377039594624014, 0.4576136410659598, 0.4779330029393331]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.6951559651419512, 0.5676592858620312]","[15, 10, 37, 33, 18, 43, 13, 38, 47, 4, 28, 16, 46, 41]","[0.0659415510579117, 0.10124743633956697, 0.10238416008123927, 0.15674822572953337, 0.1645270962327494, 0.180369129118664, 0.19658157590663286, 0.22454001058045234, 0.23516548338906856, 0.24733759232380606, 0.2547369262058665, 0.25745260267084064, 0.2665787291288665, 0.2824640228930383]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.06331257603939511, 0.41654285991451256]","[39, 49, 32, 17, 6, 21, 31, 36, 27, 42, 35, 1, 3, 4]","[0.025240766643834345, 0.05620979417813056, 0.2357371184879562, 0.29097072637873883, 0.3168897057869231, 0.3431364543047095, 0.36884522922634616, 0.3734540911791466, 0.38295220346384157, 0.39227419631686167, 0.4056897613476568, 0.42132699466151635, 0.4245248744807824, 0.4271462051538369]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.7912908971964321, 0.535892664949271]","[8, 33, 15, 18, 13, 46, 37, 47, 45, 28, 41, 34, 43, 26]","[0.10124743633956697, 0.10684083480896608, 0.13628896353509698, 0.13729656725652029, 0.15358978002989315, 0.18569679047065296, 0.20219871074074536, 0.21115731686843284, 0.21743397237880607, 0.24885670143231875, 0.25084996258957243, 0.25958447016864167, 0.2813403536459017, 0.2815327260926958]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
