POS,NN,Ndist,Nweight
"[0.0, 0.0]","[368, 335, 627, 12, 355, 153, 46, 927, 367, 192, 436, 489, 827, 353]","[0.020353806218408873, 0.021001873424276, 0.024691319986738368, 0.052314804327375584, 0.05924221081674689, 0.07759584913628308, 0.0829147399326507, 0.08793483422939179, 0.09262044746723842, 0.09316665941843376, 0.10940851835220206, 0.11868818857360856, 0.12698293140531292, 0.13133777118251622]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.0, 1.0]","[596, 919, 314, 877, 35, 213, 925, 567, 479, 936, 441, 518, 369, 33]","[0.02779354688662133, 0.049983057699788586, 0.05080574509096935, 0.05381935735064251, 0.05429209907911238, 0.06036055019422634, 0.07071716272549058, 0.07109979035752527, 0.08015964984362842, 0.08964872774753099, 0.09834680502476378, 0.1104608618101413, 0.13237706708454736, 0.13920324542730786]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.49802828220341633, 0.8686348654970469]","[615, 186, 120, 598, 551, 341, 363, 745, 95, 549, 237, 501, 767, 579]","[0.02034009135600865, 0.024352962337154723, 0.025480797067437257, 0.03631000856145525, 0.04085161978984965, 0.06039574466619389, 0.06057737166729294, 0.06268807154212311, 0.06523122534782835, 0.067674222077523, 0.07316543600558492, 0.07431336639654341, 0.07674015564293485, 0.07935377946107276]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.9588678030880184, 0.217236984805529]","[771, 18, 860, 212, 440, 597, 506, 519, 137, 629, 691, 769, 100, 467]","[0.03149269404997543, 0.03246546468314755, 0.0362408043805972, 0.03733790431447553, 0.03806286560498731, 0.03976307812015889, 0.04371847513338836, 0.043720305773471746, 0.049596491525755515, 0.050268666205104784, 0.06751183881796882, 0.06923232187802009, 0.06930708694493203, 0.07003243055763377]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.5373600628792456, 0.31110205828874615]","[482, 671, 122, 517, 146, 444, 329, 396, 935, 797, 104, 505, 165, 443]","[0.0075453063863657605, 0.008682721694836758, 0.02434484878240598, 0.026849124335989648, 0.031799846921805645, 0.03251516932678457, 0.032911373776113265, 0.03566666283923679, 0.0393482698221009, 0.049497174783889424, 0.05398096364902033, 0.055147221253602094, 0.05980420174417844, 0.0691741463304474]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.4147569297137085, 0.9943425071330866]","[23, 67, 384, 320, 143, 725, 476, 117, 869, 435, 311, 594, 141, 579]","[0.020126320181923146, 0.029327917866160368, 0.04177095940550946, 0.04262411381389904, 0.04296739937961239, 0.04506107661674178, 0.04970642311472243, 0.0514609298648222, 0.05264632849686371, 0.05786808093424948, 0.05814927244491848, 0.0658099991978175, 0.07098821733104926, 0.07547286812272669]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.06305256839041173, 0.28003763004146087]","[206, 714, 630, 645, 223, 287, 157, 638, 503, 955, 325, 126, 135, 513]","[0.008829282000907986, 0.027553824591168695, 0.030654312836054243, 0.0361819140788399, 0.04188546273558329, 0.04637199571991065, 0.04734365425230028, 0.04963718994690357, 0.06002369606750213, 0.061230996291269116, 0.06627784562459142, 0.06890317278084687, 0.06994281514317649, 0.07274073240590535]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.9196419117146218, 0.867261815727115]","[611, 608, 779, 620, 624, 282, 113, 452, 938, 352, 37, 362, 732, 371]","[0.003969466671970388, 0.00811758656638804, 0.031208180811766188, 0.03557764520360592, 0.038239298285066094, 0.04516785709361975, 0.04957089644893443, 0.05114038448743501, 0.05140157451279615, 0.058580082793339455, 0.061631168069757575, 0.06418510684405569, 0.06556438590433747, 0.06560701755336183]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.1676350277328047, 0.6791766938651755]","[991, 176, 643, 977, 548, 922, 821, 738, 750, 618, 236, 50, 429, 679]","[0.01113419004845103, 0.012746334075171097, 0.01820362878887537, 0.022168309100034037, 0.029440189238264493, 0.03135350510898428, 0.035555190030903114, 0.036740651995148414, 0.04014031527050692, 0.04334618999665467, 0.04936401244194105, 0.050440276707021524, 0.05090932031748421, 0.05189842607190729]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.772353097943431, 0.8251955526934159]","[172, 878, 613, 576, 261, 175, 375, 692, 983, 897, 921, 85, 132, 497]","[0.026238639324908483, 0.02755292739546417, 0.030743132997477985, 0.032987564018770094, 0.033304496983139274, 0.03655902679083876, 0.05449828302672934, 0.05484217387258884, 0.05522427862017277, 0.05921816692134524, 0.06001290620187906, 0.06069932282625602, 0.06080652527837933, 0.062448362792027645]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.3486440378610911, 0.673058937024323]","[700, 555, 374, 721, 806, 47, 107, 243, 644, 884, 483, 419, 590, 80]","[0.054544206428741054, 0.05554874076334869, 0.05665540753685191, 0.05680484371042815, 0.058132818969269036, 0.058576225446417725, 0.05935320331021318, 0.05948099894151665, 0.060380006093868226, 0.06564094769888142, 0.06735957381445103, 0.06912683408602913, 0.07171807816585538, 0.0774468416079262]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.032034293143036185, 0.04135991797184346]","[355, 627, 335, 368, 192, 46, 1, 153, 367, 436, 927, 489, 827, 353]","[0.00838550325593729, 0.027867315933163245, 0.03141604539994309, 0.03204821388436793, 0.04124607282498506, 0.04287122807431661, 0.052314804327375584, 0.054278938183793694, 0.05494558873164255, 0.060043413750072695, 0.06235049535363257, 0.07318676977140966, 0.0822826097224472, 0.08263761921131685]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.19011058100608025, 0.9352753974064082]","[310, 167, 581, 558, 676, 749, 606, 48, 949, 82, 422, 197, 670, 416]","[0.024209009466227106, 0.026757638696195064, 0.02680771356421859, 0.04556152820419893, 0.048700955975259606, 0.04960377928471619, 0.053718318252090204, 0.059317813002661667, 0.06061387650495852, 0.06399203352110062, 0.06540317250587771, 0.06775525062361151, 0.06779505663448208, 0.07230292314168939]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.5678632470556798, 0.5796156616013783]","[294, 764, 330, 829, 406, 268, 759, 772, 460, 90, 276, 470, 560, 985]","[0.014477724613965326, 0.018314600429485326, 0.023391666900961477, 0.03767309199148375, 0.04136066500971354, 0.04785288238009336, 0.04883073554163214, 0.05194757424019312, 0.0574432701299536, 0.06107606966993268, 0.06458215519966987, 0.06797530584130043, 0.06853378728951348, 0.07080934658064447]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.23136987142257992, 0.3742993764159589]","[787, 793, 931, 128, 586, 748, 726, 357, 73, 410, 836, 241, 952, 951]","[0.03161164716808836, 0.03425356530744661, 0.03603261718081577, 0.03754951062443785, 0.04287014482161538, 0.042956136014406086, 0.0453064353598958, 0.04847605618724065, 0.053148410783237864, 0.05524809423088731, 0.0564182948990839, 0.060843089164219696, 0.06747506364376278, 0.06914302783370865]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.47170853717830774, 0.6547608208863094]","[703, 377, 694, 626, 715, 790, 531, 256, 269, 834, 470, 884, 432, 483]","[0.007178866262245233, 0.01740109631323508, 0.020578866301777254, 0.03366532721527386, 0.03765830940791573, 0.04233639895422789, 0.043238587445592266, 0.04714364142246442, 0.047890061854450515, 0.051133495254862285, 0.05699976496463296, 0.05899605108326667, 0.06298567440164143, 0.06359568372378215]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.07795263955547749, 0.7758748933625964]","[857, 332, 405, 457, 534, 887, 633, 115, 125, 656, 134, 837, 327, 399]","[0.014550759803162727, 0.021027383971446927, 0.029930305391135652, 0.04159810483981397, 0.049910912161629205, 0.05031123586313306, 0.05048719419112539, 0.05312415918543267, 0.05419124058459253, 0.059623589428297326, 0.06455567117720637, 0.06495119212610828, 0.06511116636299126, 0.0685441083476728]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.9320633994531471, 0.2355544721570081]","[440, 860, 212, 629, 597, 4, 691, 467, 771, 100, 519, 907, 458, 245]","[0.006370246094343255, 0.017146875174276228, 0.019683318785354068, 0.02331713134137644, 0.030063239864669262, 0.03246546468314755, 0.03506338980155482, 0.03756727787871494, 0.03901478701188812, 0.04641840505694091, 0.05110986974901263, 0.054801290361828806, 0.05925731865741372, 0.06384794215626453]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.273700700871623, 0.9823888153127464]","[445, 670, 844, 749, 595, 727, 105, 826, 422, 581, 558, 676, 435, 117]","[0.01813401382975195, 0.03479659007517758, 0.04184999712582484, 0.04635252175060162, 0.047491532563245765, 0.06363077560209489, 0.06875490492888638, 0.07134771384448763, 0.07304269664938769, 0.07591790651718713, 0.07769986382066253, 0.08244007181049369, 0.08370323005368019, 0.09159203188698152]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.1922498430899382, 0.0876065428527385]","[932, 350, 96, 395, 831, 402, 262, 659, 545, 373, 74, 664, 291, 304]","[0.023249818071749133, 0.027268504589617267, 0.03159434081912642, 0.038382452308679205, 0.0385805486561998, 0.044034335308263964, 0.04751556595473298, 0.04763009927382843, 0.04879962154826384, 0.05030392909881062, 0.05050297035940162, 0.053650186889331, 0.05610300453669297, 0.056211782368212136]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.9237529908913834, 0.6844288150852573]","[781, 695, 463, 139, 278, 731, 980, 648, 805, 490, 114, 484, 902, 91]","[0.018235400313942, 0.02456862097177756, 0.025836507449760963, 0.028034358430269014, 0.03284545102518979, 0.04093803258562183, 0.04379404129136769, 0.04492493294595747, 0.04504100618095215, 0.04744620734055583, 0.04831407725679335, 0.05347041318997765, 0.05629033848536383, 0.056530527583380945]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
