POS,NN,Ndist,Nweight
"[0.0, 0.0]","[3804, 4786, 1514, 4130, 4116, 3722, 1276, 2744, 1724, 1590, 2117, 4056, 771, 675]","[0.013936045425874174, 0.017370086265991135, 0.02284029371323514, 0.023126163484298533, 0.029130492788227415, 0.033298419067285805, 0.03915293500596359, 0.04038697738988928, 0.044295215709846084, 0.04502110692836127, 0.04790380634511714, 0.05597003237776987, 0.06017461366768643, 0.06480940528752087]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.0, 1.0]","[578, 1270, 3704, 819, 1831, 4293, 1527, 1692, 3516, 2125, 1549, 189, 1100, 3669]","[0.009870554112971205, 0.01788406415261052, 0.020763976537220643, 0.023360596484681383, 0.02355260959031542, 0.02558972650435213, 0.031187588097508743, 0.03266463188492536, 0.040328523365356334, 0.04815126757446402, 0.049901224494810804, 0.05273612091453316, 0.055365309576947255, 0.05741052319162677]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.14778923725150794, 0.46078492264024073]","[4005, 4903, 706, 1963, 3492, 4358, 579, 1014, 1397, 4076, 949, 4184, 3891, 3175]","[0.01121636352967056, 0.014290232548863196, 0.01467627793653207, 0.015710206433758842, 0.01665030033738473, 0.018903381054305893, 0.020646376609936505, 0.021018547305325208, 0.02147753971840782, 0.021950638447980817, 0.02209546662442784, 0.025421634413535787, 0.02554543013782684, 0.027428782063654206]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.6838039089263738, 0.5086860781241433]","[219, 123, 4199, 946, 1700, 4746, 4463, 458, 1352, 1946, 2070, 329, 1114, 4782]","[0.011731025472189181, 0.012533298282517497, 0.01347077453438206, 0.016355464384693673, 0.016443404877645427, 0.01927431946090047, 0.01976554187428952, 0.021390474868755026, 0.0216249758781966, 0.022076510303532564, 0.0226781938122054, 0.025434347431953233, 0.028073185504373526, 0.02808341412675019]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.38868387552691563, 0.5515278387816314]","[1891, 1713, 440, 3436, 3337, 1111, 3745, 4662, 1686, 2487, 2766, 1722, 3559, 4783]","[0.008421961515691226, 0.00869007339552225, 0.01290095899904421, 0.016343123985488896, 0.019045921835228047, 0.02216924680477511, 0.022350652180139777, 0.02343047478670274, 0.025457475403214695, 0.026938020791617622, 0.027123022789547875, 0.027292945274082197, 0.028944165198544515, 0.029130454244356174]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.22397612957676372, 0.7648185220922983]","[3739, 4869, 2039, 3268, 1544, 556, 3340, 3908, 3273, 2521, 663, 2361, 3242, 2196]","[0.006745501588323216, 0.008317731088871166, 0.009715676651286862, 0.011608141312857503, 0.015231974714565345, 0.015527500967114473, 0.02189554971153686, 0.02203430945842894, 0.025678499628856395, 0.027233356870404915, 0.027897489719479994, 0.02908248174306185, 0.029511151734691664, 0.031122721900103695]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.3691238385083381, 0.19106392794976346]","[4972, 4589, 2999, 172, 3752, 414, 3938, 3151, 4882, 1779, 3748, 4035, 4068, 1991]","[0.006080532309476759, 0.007127205333259084, 0.010712197591058601, 0.012732256891834642, 0.013488658639856833, 0.0150117229985363, 0.01747623054157506, 0.019544600376729008, 0.019894067224805818, 0.02433198068980163, 0.024915339760995293, 0.02650871756056243, 0.027803687353958634, 0.02987696076446079]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.4293010256291976, 0.5776492682484241]","[585, 3135, 4603, 2291, 4725, 1722, 3031, 1686, 2974, 2735, 2984, 3405, 697, 4935]","[0.0003281630850679487, 0.013090932725400458, 0.015491679837534121, 0.01562718463397236, 0.021704124439161872, 0.022151135454485237, 0.022591864494263068, 0.022962162820638676, 0.025619696633005208, 0.027231469645756158, 0.029141604716922495, 0.029641221721783895, 0.030636054200472006, 0.030638766134397127]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.5747121420434236, 0.5297475157960231]","[3165, 3616, 4621, 1716, 4354, 3167, 546, 4333, 2831, 4291, 4769, 4959, 2022, 4749]","[0.003495227637170792, 0.007625237928241484, 0.01103833691774031, 0.01414552427967618, 0.01823146131030264, 0.018340522583407386, 0.020505729632453045, 0.02165130702852759, 0.022659727276828964, 0.022913576485465426, 0.02516594845345312, 0.02531135969359004, 0.025893756038001273, 0.02620663744089547]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[0.22602994184615333, 0.14597911083441173]","[399, 2341, 2383, 3481, 995, 3433, 88, 2917, 1557, 39, 4832, 521, 388, 4224]","[0.009215932386105158, 0.010958189164112633, 0.014874843353529866, 0.015261832937944642, 0.015859601242488235, 0.0177713278927276, 0.018169658931870218, 0.02265857303811395, 0.025870813064159948, 0.02669962594530687, 0.02746253359434801, 0.02753355866534945, 0.027720263272224606, 0.02877265291314064]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
